Booking_ID,prediction
INN04969,0.004187896
INN34541,0.26708835
INN36109,0.25643978
INN01554,0.7938538
INN24975,0.303524
INN27080,0.2636556
INN29146,0.72516936
INN05926,0.44389835
INN17356,0.4098222
INN25284,0.54596704
INN28043,0.2518857
INN00264,0.96660423
INN36020,0.06575815
INN05558,0.71975535
INN07365,0.6283251
INN35759,0.76897794
INN24606,0.63580894
INN14613,0.08499621
INN00927,0.6169417
INN03156,0.001601078
INN18684,0.29664648
INN24976,0.11339521
INN02773,0.07795197
INN09126,0.6205578
INN23806,0.33116254
INN05911,0.77665645
INN10744,0.30416104
INN18155,0.01643842
INN01732,0.25877133
INN28020,0.0055445717
INN11177,0.006755623
INN24767,0.30451098
INN24168,0.48544854
INN17657,0.23285167
INN19937,0.42387035
INN10005,0.14895086
INN19470,0.06740092
INN03227,0.67461413
INN20723,0.16119576
INN32020,0.019118711
INN04254,0.28083295
INN06188,0.34935555
INN19814,0.33862215
INN26451,0.49216554
INN07030,0.018469222
INN34873,0.6476457
INN27817,0.49246562
INN32177,0.74047273
INN05866,0.813801
INN12355,0.40699303
INN27652,0.02893322
INN27153,0.25703508
INN35279,0.7265988
INN16005,0.47066253
INN12990,0.23355204
INN24073,0.013050643
INN33637,0.5313289
INN13485,0.51648283
INN16436,0.67461413
INN34987,0.47765046
INN14263,0.23514126
INN35353,0.50294125
INN00269,0.16546337
INN32425,0.3707571
INN27275,0.22938572
INN35034,0.5655382
INN34452,0.38247162
INN35113,0.09170583
INN34588,0.35683316
INN07616,0.74999946
INN26088,0.68923813
INN09286,0.70185226
INN32284,0.24484822
INN13788,0.20767616
INN03704,0.43751043
INN21855,0.047083184
INN16700,0.97727805
INN30579,0.04932819
INN07578,0.6019396
INN05758,0.36263978
INN31672,0.25072065
INN00084,0.5962797
INN15712,0.6688498
INN21926,0.3492995
INN22391,0.34452865
INN34753,0.06457576
INN10927,0.14342652
INN07802,0.19939317
INN06082,0.8861445
INN05187,0.1252026
INN10952,0.5536502
INN16320,0.50998455
INN18055,0.63549703
INN02266,0.34609696
INN33046,0.1909673
INN33753,0.8369526
INN35475,0.7002524
INN14908,0.9147034
INN35795,0.18587539
INN35668,0.71641904
INN19700,0.91497463
INN35228,0.66752166
INN12325,0.024033122
INN13499,0.0091326125
INN22534,0.66025156
INN31212,0.27652597
INN33520,0.47127625
INN15795,0.15093623
INN12712,0.6912701
INN07104,0.63199294
INN27400,0.57343024
INN31525,0.45604256
INN18168,0.087899946
INN23731,0.7022707
INN13833,0.8341203
INN28228,0.324997
INN24517,0.30308947
INN15483,0.6603771
INN20700,0.7884818
INN02650,0.7704525
INN13261,0.046281766
INN30788,0.31169146
INN15499,0.22461595
INN02562,0.5765655
INN29761,0.33868036
INN35910,0.43838558
INN15337,0.6591118
INN00071,0.730224
INN10545,0.12858519
INN16346,0.017707761
INN08566,0.8335808
INN12010,0.4719725
INN24714,0.061262954
INN04916,0.78169906
INN30066,0.9864624
INN29665,0.2555572
INN31774,0.59084845
INN13827,0.104797654
INN00466,0.784192
INN16884,0.8196537
INN06217,0.059297435
INN18504,0.37617478
INN05180,0.75371844
INN08039,0.7327585
INN00313,0.008626735
INN04700,0.11941971
INN16731,0.47182125
INN06066,0.3629306
INN05573,0.68285173
INN11238,0.7176792
INN14218,0.2335183
INN26488,0.5899874
INN26079,0.06940019
INN35612,0.65048444
INN31168,0.7265988
INN13144,0.0964218
INN02792,0.19688137
INN34087,0.35565674
INN29578,0.73942786
INN23190,0.112893485
INN01158,0.0026603204
INN02555,0.80578625
INN21625,0.44871497
INN28268,0.31127918
INN21241,0.113227926
INN19859,0.029264273
INN01683,0.83159477
INN09949,0.8239063
INN09808,0.8719451
INN29709,0.662811
INN03894,0.3156877
INN05839,0.9334152
INN03029,0.18965043
INN18224,0.59885883
INN03980,0.6892489
INN13731,0.59044033
INN22867,0.7065511
INN20326,0.18299335
INN02970,0.3580487
INN11661,0.020924762
INN26818,0.78487873
INN26174,0.08565961
INN14495,0.027790835
INN35656,0.46797714
INN29208,0.488116
INN06268,0.75618684
INN10870,0.22842364
INN15640,0.064530775
INN34774,0.0032999166
INN17039,0.11551112
INN24361,0.4768615
INN11077,0.3105698
INN30989,0.52096915
INN16314,0.1572531
INN16829,0.72593355
INN28490,0.046258796
INN08181,0.64169616
INN12627,0.2315232
INN10390,0.4834425
INN07340,0.7538978
INN23221,0.33296502
INN24006,0.21116215
INN06869,0.80424964
INN29356,0.28869423
INN23147,0.14264138
INN14364,0.13938409
INN31585,0.62681955
INN20551,0.64352864
INN13609,0.19825195
INN00274,0.14531805
INN33001,0.657939
INN09998,0.73509717
INN10313,0.45170403
INN29439,0.9158771
INN00472,0.092703685
INN21407,0.2685138
INN08669,0.53368914
INN29849,0.04272803
INN29382,0.019645263
INN34473,0.3007184
INN26219,0.7163747
INN05708,0.63813144
INN13039,0.111641444
INN09593,0.024082445
INN32723,0.29588974
INN25064,0.06802525
INN25451,0.89780223
INN16358,0.08982212
INN31235,0.017170303
INN30234,0.080497034
INN08364,0.6605507
INN25291,0.015588013
INN14285,0.26858965
INN33508,0.558373
INN31027,0.44567165
INN22513,0.016107166
INN01427,0.3429634
INN25173,0.29503286
INN07410,0.29660743
INN08944,0.21967818
INN07450,0.003851357
INN23336,0.832398
INN00429,0.29662573
INN09737,0.00994388
INN12081,0.014278699
INN27086,0.36263978
INN01913,0.8541403
INN05219,0.479084
INN00726,0.075958796
INN20387,0.13721113
INN08691,0.7164171
INN28625,0.33727452
INN33466,0.7388369
INN04309,0.7858092
INN28105,0.7454001
INN25383,0.0103355395
INN26142,0.40697202
INN32384,0.61410123
INN18556,0.45273495
INN02901,0.7173568
INN02030,0.5620169
INN29069,0.96620965
INN34358,0.5755264
INN22532,0.6025611
INN01428,0.8057302
INN23630,0.32020527
INN28975,0.69440395
INN15484,0.79040235
INN17992,0.70395744
INN27024,0.024460299
INN17475,0.031170549
INN06283,0.88583505
INN28067,0.57231665
INN09999,0.68060213
INN10649,0.98544544
INN28239,0.47400925
INN21378,0.24050206
INN25490,0.34978852
INN21472,0.53050977
INN30471,0.5139603
INN33507,0.14514588
INN26297,0.17062983
INN03057,0.17547035
INN26999,0.7989442
INN31615,0.434085
INN12250,0.74892193
INN18579,0.345963
INN25639,0.71555126
INN33957,0.43088368
INN03841,0.04415326
INN21145,0.46151233
INN11569,0.56381273
INN21762,0.6186776
INN18427,0.29655838
INN04141,0.769864
INN01762,0.7725882
INN00097,0.8271787
INN24870,0.25241604
INN34008,0.059287008
INN33511,0.0041932124
INN30618,0.120125666
INN34749,0.015037876
INN33193,0.014359634
INN25873,0.39342293
